French,English
histoire,history
seulement,only
police,police
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
attention,Warning
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
chambre,bedroom
mis,placed
droit,law
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
terre,Earth
compte,account
donne,given
fin,end
chérie,sweetheart
gros,large
filles,girls
jouer,to play
bureau,office
